date,price,district_id,lot1_surface,lot2_surface,lot3_surface,lot4_surface,lot5_surface,lots,type,surface,rooms,extra,extra_special,land_surface
2017-07-21,395000.0,69009,0.0,0.0,0.0,0.0,0.0,0,apartment,115.0,4,ground,no_special,379.0
2017-07-19,125000.0,69004,39.03,0.0,0.0,0.0,0.0,1,apartment,39.0,2,none,no_special,0.0
2017-07-26,334500.0,69004,0.0,51.67,0.0,0.0,0.0,2,apartment,54.0,3,none,no_special,0.0
2017-07-07,434200.0,69005,0.0,0.0,0.0,0.0,0.0,0,house,71.0,5,ground,no_special,613.0
2017-07-28,362300.0,69009,0.0,118.54,0.0,0.0,0.0,2,apartment,118.0,6,none,no_special,0.0
2017-07-19,263000.0,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,64.0,3,none,no_special,0.0
2017-07-19,306000.0,69005,81.95,0.0,0.0,0.0,0.0,2,apartment,82.0,4,none,no_special,0.0
2017-07-10,541800.0,69009,109.6,0.0,0.0,0.0,0.0,1,apartment,110.0,5,none,no_special,0.0
2017-07-19,300000.0,69001,104.31,0.0,0.0,0.0,0.0,1,apartment,105.0,4,none,no_special,0.0
2017-07-27,510000.0,69001,0.0,153.72,0.0,0.0,0.0,2,apartment,148.0,1,none,no_special,0.0
2017-08-02,320000.0,69004,0.0,85.4,0.0,0.0,0.0,2,apartment,81.0,5,none,no_special,0.0
2017-07-10,356100.0,69001,83.64,0.0,0.0,0.0,0.0,1,apartment,84.0,4,none,no_special,0.0
2017-07-10,234850.0,69009,0.0,0.0,0.0,0.0,0.0,2,apartment,93.0,4,none,no_special,0.0
2017-07-04,386000.0,69004,0.0,0.0,0.0,0.0,0.0,1,apartment,67.0,3,none,no_special,0.0
2017-07-21,235000.0,69005,89.5,0.0,0.0,0.0,0.0,2,apartment,89.0,4,none,no_special,0.0
2017-07-25,190000.0,69001,0.0,0.0,0.0,0.0,0.0,4,apartment,95.0,4,none,no_special,0.0
2017-07-05,176500.0,69009,0.0,71.38,0.0,0.0,0.0,2,apartment,72.0,3,none,no_special,0.0
2017-07-26,435000.0,69002,107.1,0.0,0.0,0.0,0.0,2,apartment,92.0,3,none,no_special,0.0
2017-07-25,347500.0,69005,0.0,0.0,0.0,0.0,0.0,2,apartment,96.0,5,none,no_special,0.0
2017-07-31,485000.0,69002,114.11,0.0,0.0,0.0,0.0,5,apartment,117.0,6,none,no_special,0.0
2017-07-25,132500.0,69009,0.0,74.41,0.0,0.0,0.0,2,apartment,68.0,4,none,no_special,0.0
2017-07-28,222450.0,69002,39.02,0.0,0.0,0.0,0.0,2,apartment,40.0,2,none,no_special,0.0
2017-07-10,365550.0,69004,69.65,0.0,0.0,0.0,0.0,1,apartment,77.0,3,none,no_special,0.0
2017-07-17,145000.0,69005,35.98,0.0,0.0,0.0,0.0,2,apartment,35.0,1,none,no_special,0.0
2017-07-27,277000.0,69002,49.03,0.0,0.0,0.0,0.0,1,apartment,46.0,2,none,no_special,0.0
2017-07-10,150000.0,69001,29.55,0.0,0.0,0.0,0.0,2,apartment,32.0,1,none,no_special,0.0
2017-07-26,311550.0,69001,80.89,0.0,0.0,0.0,0.0,1,apartment,80.0,2,none,no_special,0.0
2017-07-13,750300.0,69001,205.44,0.0,0.0,0.0,0.0,1,apartment,172.0,9,none,no_special,0.0
2017-07-24,380000.0,69001,0.0,101.18,0.0,0.0,0.0,2,apartment,104.0,4,none,no_special,0.0
2017-07-25,1072570.0,69005,0.0,0.0,0.0,0.0,0.0,0,house,248.0,8,ground,no_special,500.0
2017-07-25,1072570.0,69005,0.0,0.0,0.0,0.0,0.0,0,house,248.0,8,pleasure_grounds,park,1460.0
2017-07-26,510000.0,69001,105.39,0.0,0.0,0.0,0.0,2,apartment,105.0,3,none,no_special,0.0
2017-07-31,265000.0,69004,60.15,0.0,0.0,0.0,0.0,2,apartment,62.0,2,none,no_special,0.0
2017-07-28,110000.0,69001,0.0,0.0,0.0,0.0,0.0,1,apartment,50.0,1,none,no_special,0.0
2017-07-28,110000.0,69001,0.0,0.0,0.0,0.0,0.0,1,apartment,21.0,1,none,no_special,0.0
2017-07-21,240250.0,69005,42.05,0.0,0.0,0.0,0.0,1,apartment,48.0,2,none,no_special,0.0
2017-07-07,459000.0,69002,113.65,0.0,0.0,0.0,0.0,2,apartment,124.0,4,none,no_special,0.0
2017-07-12,167000.0,69002,0.0,0.0,0.0,0.0,0.0,1,apartment,42.0,2,none,no_special,0.0
